# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1785193027711,ELM,ELM Connected (ELM327 (Bluetooth))
1785193043210,ZONE,coolant COLD → GOOD (NORMAL)
1785193056848,ZONE,stft WARN → GOOD (NORMAL)
1785193062982,TRIP,Trip Start
1785193062983,ZONE,battery WARN → ELEVATED (IDLE LOW)
1785193064389,ZONE,battery ELEVATED → WARN (ELD LOW)
1785193073427,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1785193073428,CHARGE,Charging problem began (WEAK CHARGE)
1785193075081,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1785193076768,ZONE,battery CRITICAL → ELEVATED (IDLE LOW)
1785193076768,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785193076768,CHARGE,Charging problem ended
1785193078447,ZONE,stft WARN → GOOD (NORMAL)
1785193080135,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1785193080135,CHARGE,Charging problem began (ALT WEAK)
1785193094705,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785193096603,GEAR,Estimated gear 1 → 2
1785193096603,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1785193098352,GEAR,Estimated gear 2 → 3
1785193098352,ZONE,battery ELEVATED → WARN (ELD LOW)
1785193098352,ZONE,stft WARN → GOOD (NORMAL)
1785193098352,CHARGE,Charging problem ended
1785193099647,GEAR,Estimated gear 3 → 2
1785193099647,ZONE,battery WARN → GOOD (ELD IDLE)
1785193106211,GEAR,Estimated gear 2 → 1
1785193106211,ZONE,intake WARN → GOOD (NORMAL)
1785193108025,GEAR,Estimated gear 1 → 2
1785193113160,GEAR,Estimated gear 2 → 3
1785193123057,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785193126373,GEAR,Estimated gear 3 → 2
1785193127643,GEAR,Estimated gear 2 → 3
1785193127643,ZONE,stft WARN → GOOD (NORMAL)
1785193129303,GEAR,Estimated gear 3 → 2
1785193137468,GEAR,Estimated gear 2 → 3
1785193148299,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1785193149775,GEAR,Estimated gear 3 → 4
1785193149775,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1785193151519,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785193154775,ZONE,stft WARN → GOOD (NORMAL)
1785193157798,GEAR,Estimated gear 4 → 3
1785193160808,GEAR,Estimated gear 3 → 2
1785193168525,GEAR,Estimated gear 2 → 3
1785193177852,GEAR,Estimated gear 3 → 4
1785193179535,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1785193186450,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1785193188026,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1785193189680,GEAR,Estimated gear 4 → 3
1785193196164,GEAR,Estimated gear 3 → 2
1785193204468,GEAR,Estimated gear 2 → 3
1785193206013,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785193213989,ZONE,stft WARN → GOOD (NORMAL)
1785193215718,GEAR,Estimated gear 3 → 2
1785193217469,GEAR,Estimated gear 2 → 1
1785193220684,GEAR,Estimated gear 1 → 2
