# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1785101436253,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101439290,ZONE,battery GOOD → WARN (LOW CHARGE)
1785101440876,ZONE,battery WARN → GOOD (CHARGING OK)
1785101440876,ZONE,stft WARN → GOOD (NORMAL)
1785101442370,ZONE,battery GOOD → WARN (LOW CHARGE)
1785101444044,ZONE,battery WARN → GOOD (CHARGING OK)
1785101448934,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101453916,ZONE,stft WARN → GOOD (NORMAL)
1785101462491,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101465581,ZONE,stft WARN → GOOD (NORMAL)
1785101474862,ZONE,maf GOOD → WARN (LOW IDLE)
1785101476542,ZONE,maf WARN → GOOD (IDLE OK)
1785101478215,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101479719,ZONE,stft WARN → GOOD (NORMAL)
1785101489084,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101490571,ZONE,stft WARN → GOOD (NORMAL)
1785101492035,ZONE,battery GOOD → WARN (LOW CHARGE)
1785101492035,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101493690,ZONE,stft WARN → GOOD (NORMAL)
1785101497085,ZONE,battery WARN → GOOD (CHARGING OK)
1785101501714,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101503199,ZONE,stft WARN → GOOD (NORMAL)
1785101505507,ZONE,battery GOOD → ELEVATED (WEAK CHARGE)
1785101505507,CHARGE,Charging problem began (WEAK CHARGE)
1785101507113,ZONE,battery ELEVATED → GOOD (CHARGING OK)
1785101507113,CHARGE,Charging problem ended
1785101514598,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101516220,ZONE,stft WARN → GOOD (NORMAL)
1785101520731,ZONE,battery GOOD → ELEVATED (WEAK CHARGE)
1785101520731,CHARGE,Charging problem began (WEAK CHARGE)
1785101522299,ZONE,battery ELEVATED → WARN (LOW CHARGE)
1785101522299,CHARGE,Charging problem ended
1785101523960,ZONE,battery WARN → GOOD (CHARGING OK)
1785101532014,ZONE,battery GOOD → WARN (LOW CHARGE)
1785101533446,ZONE,battery WARN → GOOD (CHARGING OK)
1785101541329,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785101542931,ZONE,stft WARN → GOOD (NORMAL)
1785101547426,ZONE,battery GOOD → WARN (LOW CHARGE)
1785101548936,ZONE,battery WARN → GOOD (CHARGING OK)
1785101571269,ZONE,battery GOOD → WARN (LOW CHARGE)
1785101572761,ZONE,battery WARN → GOOD (CHARGING OK)
1785101574196,ZONE,battery GOOD → WARN (LOW CHARGE)
1785101575764,ZONE,battery WARN → GOOD (CHARGING OK)
1785101575764,ZONE,map GOOD → WARN (CHECK)
1785101577238,ZONE,map WARN → GOOD (IDLE OK)
1785101588091,ZONE,battery GOOD → ELEVATED (WEAK CHARGE)
1785101588091,CHARGE,Charging problem began (WEAK CHARGE)
1785101589737,ZONE,battery ELEVATED → GOOD (CHARGING OK)
1785101589737,CHARGE,Charging problem ended
1785101597506,ZONE,battery GOOD → WARN (LOW CHARGE)
1785101600349,ZONE,battery WARN → GOOD (CHARGING OK)
