# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786618970368,TRIP,Trip Start
1786618970368,CHARGE,Charging problem began (ALT WEAK)
1786618970368,ELM,ELM Connected (ELM327 (Bluetooth))
1786618971850,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786619004950,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786619005507,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1786619007009,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786619008323,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786619008323,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786619057213,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786619058009,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786619058788,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786619060291,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786619060292,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1786619060957,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786619061631,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786619061631,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1786619063144,FUEL,Fuel system OPEN LOOP → OPEN (DRIVE)
1786619063144,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786619064675,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1786619065844,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786619065844,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786619066850,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786619083188,GEAR,Estimated gear 5 → 3
1786619083188,ZONE,map GOOD → WARN (CHECK WOT)
1786619086200,ZONE,battery CRITICAL → GOOD (CHARGING OK)
1786619086200,CHARGE,Charging problem ended
1786619089389,GEAR,Estimated gear 3 → 4
1786619089389,ZONE,battery GOOD → WARN (LOW CHARGE)
1786619090720,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1786619090720,CHARGE,Charging problem began (WEAK CHARGE)
1786619091129,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786619091585,GEAR,Estimated gear 4 → 5
1786619095144,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786619095144,ZONE,battery CRITICAL → WARN (LOW CHARGE)
1786619095144,CHARGE,Charging problem ended
1786619099047,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786619100494,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786619100494,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1786619100494,CHARGE,Charging problem began (WEAK CHARGE)
1786619101545,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
