# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1784936319399,FUEL,Fuel system UNKNOWN → OPEN (DRIVE)
1784936319399,ZONE,battery ELEVATED → CRITICAL (FLAT)
1784936320426,ENGINE,Engine Start
1784936320426,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1784936320427,ZONE,battery CRITICAL → GOOD (CHARGING OK)
1784936320427,ZONE,maf CRITICAL → GOOD (CRUISE OK)
1784936320428,ZONE,map WARN → GOOD (NORMAL)
1784936321776,ZONE,map GOOD → WARN (CHECK)
1784936331620,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784936340770,ZONE,map WARN → GOOD (IDLE OK)
1784936344095,ZONE,battery GOOD → WARN (LOW CHARGE)
1784936347553,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1784936347556,CHARGE,Charging problem began (WEAK CHARGE)
1784936352807,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1784936487887,ZONE,coolant COLD → GOOD (NORMAL)
1784936546118,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1784936567660,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1784936569028,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1784936570754,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1784936572901,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1784936574117,TRIP,Trip Start
1784936574118,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1784936577187,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1784936578675,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1784936581511,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784936590472,ZONE,stft WARN → GOOD (NORMAL)
1784936593462,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784936595079,ZONE,stft WARN → GOOD (NORMAL)
1784936598396,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1784936601182,ZONE,battery ELEVATED → WARN (LOW CHARGE)
1784936601182,CHARGE,Charging problem ended
1784936602700,ZONE,battery WARN → GOOD (CHARGING OK)
1784936607115,ZONE,battery GOOD → WARN (LOW CHARGE)
1784936608668,ZONE,battery WARN → GOOD (CHARGING OK)
1784936620280,ZONE,map GOOD → WARN (RISING)
1784936623313,GEAR,Estimated gear 1 → 2
1784936624817,ZONE,map WARN → GOOD (NORMAL)
1784936626412,GEAR,Estimated gear 2 → 3
1784936628063,GEAR,Estimated gear 3 → 2
1784936629653,ZONE,map GOOD → WARN (RISING)
1784936633064,ZONE,map WARN → GOOD (CRUISE OK)
1784936634831,GEAR,Estimated gear 2 → 3
1784936634831,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1784936636435,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784936639727,ZONE,map GOOD → WARN (RISING)
1784936641320,ZONE,map WARN → GOOD (NORMAL)
1784936642912,GEAR,Estimated gear 3 → 4
1784936642912,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784936644651,GEAR,Estimated gear 4 → 3
1784936644651,ZONE,stft WARN → GOOD (NORMAL)
1784936648023,GEAR,Estimated gear 3 → 4
1784936649749,GEAR,Estimated gear 4 → 3
1784936652769,GEAR,Estimated gear 3 → 2
1784936654598,GEAR,Estimated gear 2 → 1
1784936654598,ZONE,map GOOD → WARN (RISING)
1784936656016,GEAR,Estimated gear 1 → 2
1784936656016,ZONE,map WARN → GOOD (CRUISE OK)
1784936660711,GEAR,Estimated gear 2 → 3
1784936660711,ZONE,map GOOD → WARN (RISING)
1784936662136,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784936663761,ZONE,stft WARN → GOOD (NORMAL)
1784936668757,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1784936668757,ZONE,map WARN → GOOD (NORMAL)
1784936670084,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784936671654,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784936671654,ZONE,map GOOD → WARN (RISING)
1784936673375,ZONE,stft WARN → GOOD (NORMAL)
1784936676223,ZONE,map WARN → GOOD (CRUISE OK)
1784936677682,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1784936680883,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1784936682452,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784936685544,GEAR,Estimated gear 3 → 2
1784936685544,ZONE,map GOOD → WARN (RISING)
1784936690273,ZONE,map WARN → GOOD (CRUISE OK)
1784936692047,GEAR,Estimated gear 2 → 3
1784936700149,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1784936701827,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1784936704899,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784936706493,ZONE,map GOOD → WARN (RISING)
1784936709322,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784936711026,ZONE,stft WARN → GOOD (NORMAL)
1784936711026,ZONE,map WARN → GOOD (CRUISE OK)
1784936714146,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1784936716963,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1784936718701,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784936723690,GEAR,Estimated gear 3 → 2
1784936731410,ZONE,map GOOD → WARN (RISING)
1784936734800,GEAR,Estimated gear 2 → 3
1784936734800,ZONE,map WARN → GOOD (CRUISE OK)
1784936736489,ZONE,map GOOD → WARN (RISING)
1784936738153,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1784936738153,ZONE,map WARN → GOOD (NORMAL)
1784936739569,GEAR,Estimated gear 3 → 4
1784936739569,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784936741223,GEAR,Estimated gear 4 → 3
1784936743193,GEAR,Estimated gear 3 → 2
1784936749701,ZONE,battery GOOD → WARN (LOW CHARGE)
1784936756396,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1784936756396,CHARGE,Charging problem began (WEAK CHARGE)
1784936759764,ZONE,battery ELEVATED → WARN (LOW CHARGE)
1784936759764,CHARGE,Charging problem ended
1784936798654,ZONE,battery WARN → GOOD (CHARGING OK)
1784936801394,ZONE,battery GOOD → WARN (LOW CHARGE)
1784936917448,GEAR,Estimated gear 2 → 3
