# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786973668766,DTC,DTC present: 1 code(s)
1786973672524,ELM,ELM Connected (ELM327 (Bluetooth))
1786973677631,ZONE,battery ELEVATED → CRITICAL (FLAT)
1786973727936,ZONE,maf CRITICAL → GOOD (CRUISE OK)
1786973729132,ENGINE,Engine Start
1786973729132,ZONE,maf GOOD → WARN (LOW)
1786973729132,CHARGE,Charging problem began (ALT WEAK)
1786973730340,ZONE,maf WARN → GOOD (IDLE OK)
1786973730340,CHARGE,Charging problem ended
1786973731229,ZONE,battery CRITICAL → GOOD (ELD IDLE)
1786973732521,ZONE,map GOOD → WARN (HIGH IDLE)
1786973733599,ZONE,map WARN → GOOD (CRUISE)
1786973754352,ZONE,map GOOD → WARN (HIGH IDLE)
1786973755375,ZONE,battery GOOD → WARN (LOW CHARGE)
1786973756389,ZONE,battery WARN → GOOD (ELD IDLE)
1786973756390,ZONE,map WARN → GOOD (IDLE)
1786973759238,ZONE,battery GOOD → WARN (ELD LOW)
1786973792125,ZONE,stft GOOD → WARN (SLIGHT LEAN)
1786973793380,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1786973793381,CHARGE,Charging problem began (WEAK CHARGE)
1786973794356,ZONE,stft WARN → ELEVATED (LEAN)
1786973799994,ZONE,stft ELEVATED → CRITICAL (BAD LEAN)
1786973833409,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786973856918,ZONE,ltft WARN → CRITICAL (BAD LEAN)
1786973867058,ZONE,coolant COLD → GOOD (NORMAL)
1786973869948,ZONE,coolant GOOD → COLD (COLD)
1786973874322,ZONE,coolant COLD → GOOD (NORMAL)
1786973908679,CHARGE,Charging problem ended
1786973915357,ZONE,stft CRITICAL → WARN (SLIGHT LEAN)
1786973916398,ZONE,stft WARN → ELEVATED (LEAN)
1786973947845,DTC,DTCs cleared
1786973954657,ZONE,stft ELEVATED → CRITICAL (BAD LEAN)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1786973717851,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973719978,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973721171,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973722253,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973723337,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973725484,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973726667,0.0,0.0,39.0,,,,0.0,16.07843137254902,5.5,0.0,97.0,0.0,9.375,11.9,,OPEN LOOP
1786973727934,289.5,0.0,39.0,,,,0.0,18.431372549019606,5.5,3.42,40.0,0.0,9.375,11.9,,OPEN LOOP
1786973729129,1443.5,0.0,39.0,,,,0.0,19.215686274509803,5.5,1.93,44.0,0.0,9.375,11.9,,OPEN LOOP
1786973730337,1041.75,0.0,39.0,,,,0.0,20.0,5.5,2.45,44.0,0.0,9.375,12.0,,OPEN LOOP
1786973732518,1083.0,0.0,39.0,,,,0.0,20.392156862745097,5.5,3.4,62.0,0.0,9.375,13.3,,OPEN LOOP
1786973733596,1243.5,0.0,39.0,,,,0.0,20.0,5.5,3.4,55.0,0.0,9.375,13.4,,OPEN LOOP
1786973734661,1284.0,0.0,39.0,,,,0.0,20.0,5.5,3.4,53.0,0.0,9.375,13.5,,OPEN LOOP
1786973736264,1284.75,0.0,40.0,,,,0.0,20.0,5.5,3.37,55.0,0.0,9.375,13.5,,OPEN LOOP
1786973737912,1300.25,0.0,40.0,,,,0.0,20.0,0.5,3.34,55.0,0.0,9.375,13.5,,OPEN LOOP
1786973739508,1300.0,0.0,40.0,,,,0.0,20.0,3.5,3.34,52.0,0.0,9.375,13.5,,OPEN LOOP
1786973741063,1296.5,0.0,41.0,,,,0.0,20.0,3.5,3.27,55.0,0.0,9.375,13.5,,OPEN LOOP
1786973742259,1270.0,0.0,41.0,,,,0.0,20.0,3.5,3.32,55.0,0.0,9.375,13.5,,OPEN LOOP
1786973743366,1264.75,0.0,42.0,,,,0.0,20.0,3.5,3.29,56.0,0.0,9.375,13.5,,OPEN LOOP
1786973745249,1227.0,0.0,42.0,,,,0.0,20.0,6.5,3.27,56.0,0.0,9.375,13.5,,OPEN LOOP
1786973746418,1217.5,0.0,43.0,,,,0.0,20.0,2.0,3.29,58.0,0.0,9.375,13.4,,OPEN LOOP
1786973748161,1200.75,0.0,43.0,,,,0.0,20.0,4.0,3.26,57.0,0.0,9.375,13.4,,OPEN LOOP
1786973749167,1173.75,0.0,44.0,,,,0.0,,2.5,3.17,59.0,0.0,9.375,13.2,,OPEN LOOP
1786973750198,1134.5,0.0,44.0,,,,0.0,,2.5,3.14,59.0,0.0,9.375,13.1,,OPEN LOOP
1786973751287,1145.25,0.0,44.0,,,,0.0,,2.0,3.07,59.0,0.0,9.375,13.1,,OPEN LOOP
1786973753279,1063.0,0.0,44.0,,,,0.0,,6.0,2.99,59.0,0.0,9.375,12.9,,OPEN LOOP
1786973754350,1051.0,0.0,45.0,,,,0.0,,6.0,2.99,61.0,0.0,9.375,12.9,,OPEN LOOP
1786973755374,1111.5,0.0,45.0,,,,0.0,,6.0,3.04,61.0,0.0,9.375,12.7,,OPEN LOOP
1786973756388,1091.0,0.0,46.0,,,,0.0,,6.0,3.04,59.0,0.0,9.375,12.7,,OPEN LOOP
1786973757420,1077.75,0.0,46.0,,,,0.0,,6.0,2.93,56.0,0.0,9.375,12.6,,OPEN LOOP
1786973759236,1036.25,0.0,46.0,,,,42.745098039215684,19.215686274509803,2.5,3.03,56.0,0.0,9.375,12.5,,OPEN LOOP
1786973760238,1099.0,0.0,46.0,,,,42.745098039215684,19.215686274509803,3.5,3.03,56.0,0.0,9.375,12.5,,OPEN LOOP
1786973761521,1043.0,0.0,46.0,,,,42.35294117647059,19.215686274509803,6.5,2.87,57.0,0.0,9.375,12.4,,OPEN LOOP
1786973762692,1028.5,0.0,46.0,,,,41.568627450980394,19.215686274509803,6.5,2.84,57.0,0.0,9.375,12.4,,OPEN LOOP
1786973763710,1056.5,0.0,47.0,,,,41.568627450980394,19.215686274509803,6.5,2.9,58.0,0.0,9.375,12.4,,OPEN LOOP
1786973764920,1069.0,0.0,47.0,,,,40.0,19.215686274509803,-5.5,2.85,55.0,0.0,9.375,12.4,,OPEN LOOP
1786973766012,1052.75,0.0,47.0,,,,40.3921568627451,20.0,-5.5,2.85,55.0,0.0,9.375,12.4,,OPEN LOOP
1786973767187,1038.25,0.0,48.0,,,,40.3921568627451,20.0,-5.5,2.83,56.0,0.0,9.375,12.4,,OPEN LOOP
1786973768995,989.75,0.0,48.0,,,,41.568627450980394,19.215686274509803,4.0,2.83,55.0,0.0,9.375,12.4,,OPEN LOOP
1786973770176,1030.5,0.0,48.0,,,,41.568627450980394,19.215686274509803,-3.5,2.81,55.0,0.0,9.375,12.3,,OPEN LOOP
1786973771363,1059.25,0.0,48.0,,,,41.96078431372549,19.215686274509803,-6.0,2.81,57.0,0.0,9.375,12.4,,OPEN LOOP
1786973772555,1011.0,0.0,49.0,,,,41.96078431372549,19.215686274509803,-6.0,2.81,57.0,0.0,9.375,12.4,,OPEN LOOP
1786973773928,1052.75,0.0,49.0,,,,41.96078431372549,19.215686274509803,6.0,2.81,55.0,0.0,9.375,12.4,,OPEN LOOP
1786973775202,1031.5,0.0,49.0,,,,40.0,19.215686274509803,5.0,2.77,54.0,0.0,9.375,12.4,,OPEN LOOP
1786973776405,1008.5,0.0,50.0,,,,41.1764705882353,19.215686274509803,5.0,2.75,54.0,0.0,9.375,12.4,,OPEN LOOP
1786973777723,997.0,0.0,50.0,,,,41.1764705882353,19.215686274509803,3.0,2.78,58.0,0.0,9.375,12.4,,OPEN LOOP
1786973779186,1036.25,0.0,50.0,,,,41.568627450980394,19.215686274509803,6.0,2.84,56.0,0.0,9.375,12.4,,OPEN LOOP
1786973780376,1036.25,0.0,50.0,,,,42.745098039215684,19.215686274509803,6.0,2.84,56.0,0.0,9.375,12.4,,OPEN LOOP
1786973781632,1002.0,0.0,50.0,,,,42.745098039215684,19.215686274509803,-6.0,2.53,56.0,0.0,9.375,12.4,,OPEN LOOP
1786973782851,1014.5,0.0,50.0,,37.0,,42.35294117647059,19.215686274509803,-2.5,2.57,56.0,0.0,9.375,12.4,,OPEN LOOP
1786973784056,1003.0,0.0,51.0,,37.0,,39.6078431372549,19.607843137254903,-5.5,2.58,56.0,0.0,9.375,12.4,,OPEN LOOP
1786973785410,1022.5,0.0,51.0,,37.0,,41.568627450980394,19.607843137254903,-5.5,2.68,56.0,0.0,9.375,12.4,,OPEN LOOP
1786973786630,1006.75,0.0,51.0,,37.0,,41.568627450980394,19.215686274509803,-0.5,2.68,60.0,0.0,9.375,12.4,,OPEN LOOP
1786973788077,980.5,0.0,51.0,,37.0,,42.35294117647059,19.215686274509803,-0.5,2.72,60.0,0.0,9.375,12.4,,OPEN LOOP
1786973789453,1016.0,0.0,51.0,,37.0,,42.35294117647059,19.215686274509803,2.0,2.66,57.0,0.0,9.375,12.4,,OPEN LOOP
1786973790937,1005.25,0.0,51.0,,37.0,,43.529411764705884,19.215686274509803,-3.5,2.81,57.0,0.0,9.375,12.4,,OPEN LOOP
1786973792118,1010.0,0.0,51.0,,37.0,,43.529411764705884,19.215686274509803,-3.5,2.82,55.0,5.46875,9.375,12.4,,OPEN LOOP
1786973793374,1118.25,0.0,51.0,,37.0,,38.8235294117647,19.215686274509803,-2.0,2.84,50.0,5.46875,9.375,12.4,,OPEN LOOP
1786973795545,1159.75,0.0,52.0,,37.0,,38.8235294117647,19.215686274509803,-2.0,2.68,50.0,13.28125,9.375,12.4,,OPEN LOOP
1786973797408,1177.5,0.0,52.0,,,,32.549019607843135,19.215686274509803,1.0,2.47,,17.1875,9.375,12.4,,OPEN LOOP
1786973798663,1197.0,0.0,53.0,,37.0,,32.15686274509804,19.215686274509803,1.0,2.37,,19.53125,9.375,12.3,,OPEN LOOP
1786973799993,1201.25,0.0,53.0,,37.0,,32.15686274509804,19.215686274509803,4.0,2.4,,20.3125,9.375,12.3,,OPEN LOOP
1786973801445,1224.25,0.0,53.0,,37.0,,28.627450980392158,18.823529411764707,6.0,2.28,,20.3125,9.375,12.3,,OPEN LOOP
1786973803033,1229.5,0.0,53.0,,37.0,,30.19607843137255,18.823529411764707,5.0,2.28,,20.3125,9.375,12.4,,OPEN LOOP
