# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786800317201,TRIP,Trip Start
1786800317201,CHARGE,Charging problem began (ALT WEAK)
1786800317202,ELM,ELM Connected (ELM327 (Bluetooth))
1786800318384,GEAR,Estimated gear 2 → 1
1786800321697,GEAR,Estimated gear 1 → 2
1786800324804,ZONE,stft WARN → GOOD (NORMAL)
1786800329574,GEAR,Estimated gear 2 → 3
1786800329574,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800332041,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800332041,ZONE,stft WARN → GOOD (NORMAL)
1786800334414,ZONE,stft GOOD → ELEVATED (RICH)
1786800341020,ZONE,stft ELEVATED → GOOD (NORMAL)
1786800342970,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800353894,GEAR,Estimated gear 3 → 4
1786800358143,ZONE,stft GOOD → ELEVATED (RICH)
1786800359326,GEAR,Estimated gear 4 → 3
1786800367986,GEAR,Estimated gear 3 → 4
1786800367986,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800369158,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800372162,GEAR,Estimated gear 4 → 3
1786800373156,GEAR,Estimated gear 3 → 2
1786800374446,ZONE,coolant GOOD → WARN (WARM)
1786800375542,ZONE,coolant WARN → GOOD (NORMAL)
1786800377522,GEAR,Estimated gear 2 → 3
1786800379666,GEAR,Estimated gear 3 → 5
1786800382044,ZONE,coolant GOOD → WARN (WARM)
1786800382044,ZONE,stft ELEVATED → GOOD (NORMAL)
1786800383247,GEAR,Estimated gear 5 → 4
1786800383248,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800384197,ZONE,stft WARN → GOOD (NORMAL)
1786800387830,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800390162,ZONE,stft WARN → GOOD (NORMAL)
1786800391492,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800392665,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800393938,FUEL,Fuel system OPEN LOOP → OPEN (DRIVE)
1786800396284,ZONE,coolant WARN → GOOD (NORMAL)
1786800397866,GEAR,Estimated gear 4 → 5
1786800397866,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1786800399039,GEAR,Estimated gear 5 → 4
1786800401189,GEAR,Estimated gear 4 → 3
1786800401189,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800403417,ZONE,stft WARN → GOOD (NORMAL)
1786800405788,GEAR,Estimated gear 3 → 4
1786800405788,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800406847,ZONE,stft WARN → GOOD (NORMAL)
1786800407936,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800409067,ZONE,stft WARN → GOOD (NORMAL)
1786800411473,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800412754,ZONE,stft WARN → GOOD (NORMAL)
1786800416388,GEAR,Estimated gear 4 → 5
1786800416388,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800417708,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800418784,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800420920,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800422031,ZONE,stft WARN → GOOD (NORMAL)
1786800424361,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800430317,ZONE,stft WARN → GOOD (NORMAL)
1786800442341,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800443287,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800446011,GEAR,Estimated gear 5 → 4
1786800448115,GEAR,Estimated gear 4 → 5
1786800453235,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800454108,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800454991,FUEL,Fuel system OPEN LOOP → OPEN (DRIVE)
1786800461289,GEAR,Estimated gear 5 → 4
1786800461289,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1786800463672,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800464773,GEAR,Estimated gear 4 → 3
1786800466026,GEAR,Estimated gear 3 → 2
1786800466027,CHARGE,Charging problem ended
1786800468054,GEAR,Estimated gear 2 → 1
1786800468054,CHARGE,Charging problem began (ALT WEAK)
1786800469309,ZONE,stft WARN → GOOD (NORMAL)
1786800473963,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800474901,GEAR,Estimated gear 1 → 3
1786800479397,GEAR,Estimated gear 3 → 4
1786800481254,ZONE,stft WARN → GOOD (NORMAL)
1786800483374,GEAR,Estimated gear 4 → 3
1786800484259,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800485133,GEAR,Estimated gear 3 → 4
1786800485133,ZONE,stft WARN → GOOD (NORMAL)
1786800487825,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800488702,ZONE,stft WARN → GOOD (NORMAL)
1786800494195,ZONE,battery CRITICAL → WARN (LOW CHARGE)
1786800494195,CHARGE,Charging problem ended
1786800495925,ZONE,battery WARN → GOOD (CHARGING OK)
1786800497406,GEAR,Estimated gear 4 → 3
1786800498756,ZONE,battery GOOD → WARN (LOW CHARGE)
1786800499557,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1786800499558,CHARGE,Charging problem began (WEAK CHARGE)
1786800500671,CHARGE,Charging problem ended
1786800501855,GEAR,Estimated gear 3 → 2
1786800502970,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800505245,GEAR,Estimated gear 2 → 1
1786800505245,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786800505245,ZONE,stft WARN → GOOD (NORMAL)
1786800505245,CHARGE,Charging problem began (ALT WEAK)
1786800507406,GEAR,Estimated gear 1 → 2
1786800511951,GEAR,Estimated gear 2 → 3
1786800511951,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800519637,GEAR,Estimated gear 3 → 4
1786800520699,ZONE,stft WARN → GOOD (NORMAL)
1786800521890,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800522987,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800522987,ZONE,stft WARN → GOOD (NORMAL)
1786800524191,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1786800526429,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800527447,ZONE,stft WARN → GOOD (NORMAL)
1786800528433,GEAR,Estimated gear 4 → 3
1786800531377,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800535064,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800536010,ZONE,stft WARN → GOOD (NORMAL)
1786800536878,GEAR,Estimated gear 3 → 5
1786800537844,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800538781,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800541640,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800544814,GEAR,Estimated gear 5 → 4
1786800544815,ZONE,stft WARN → GOOD (NORMAL)
1786800546872,GEAR,Estimated gear 4 → 5
1786800546873,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800550787,ZONE,stft WARN → GOOD (NORMAL)
1786800551898,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800555779,GEAR,Estimated gear 5 → 4
1786800557119,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800558114,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800558114,ZONE,battery CRITICAL → WARN (LOW CHARGE)
1786800558114,CHARGE,Charging problem ended
1786800558986,GEAR,Estimated gear 4 → 3
1786800558987,ZONE,battery WARN → GOOD (ELD IDLE)
1786800559923,ZONE,battery GOOD → WARN (ELD LOW)
1786800560756,ZONE,battery WARN → ELEVATED (IDLE LOW)
1786800562040,GEAR,Estimated gear 3 → 2
1786800563239,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800564330,GEAR,Estimated gear 2 → 1
1786800564330,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786800564330,ZONE,stft WARN → GOOD (NORMAL)
1786800564330,CHARGE,Charging problem began (ALT WEAK)
1786800565693,GEAR,Estimated gear 1 → 2
1786800565693,CHARGE,Charging problem ended
1786800569438,CHARGE,Charging problem began (ALT WEAK)
1786800570721,GEAR,Estimated gear 2 → 1
1786800571832,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800572882,ZONE,stft WARN → GOOD (NORMAL)
1786800575106,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800576218,GEAR,Estimated gear 1 → 2
1786800583295,GEAR,Estimated gear 2 → 3
1786800585348,GEAR,Estimated gear 3 → 5
1786800585349,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800586386,GEAR,Estimated gear 5 → 4
1786800586386,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800588275,GEAR,Estimated gear 4 → 3
1786800588275,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800589299,GEAR,Estimated gear 3 → 4
1786800598532,GEAR,Estimated gear 4 → 5
1786800601159,GEAR,Estimated gear 5 → 3
1786800603621,GEAR,Estimated gear 3 → 4
1786800603621,ZONE,stft WARN → GOOD (NORMAL)
1786800605248,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800606939,ZONE,stft WARN → GOOD (NORMAL)
1786800607824,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800608941,GEAR,Estimated gear 4 → 5
1786800608941,ZONE,stft WARN → GOOD (NORMAL)
1786800611295,GEAR,Estimated gear 5 → 4
1786800611295,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800612160,GEAR,Estimated gear 4 → 5
1786800612160,ZONE,stft WARN → ELEVATED (RICH)
1786800612786,ZONE,stft ELEVATED → GOOD (NORMAL)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1786800317197,945.0,13.0,,,58.0,,25.49019607843137,16.862745098039216,20.5,3.2,,,,12.1,2,
1786800318381,1499.0,14.0,,,58.0,,25.49019607843137,16.862745098039216,20.5,6.99,31.0,,,12.1,1,
1786800320056,1646.0,15.0,92.0,,59.0,,32.549019607843135,16.862745098039216,8.5,5.12,31.0,,,12.0,1,
1786800321695,1226.0,17.0,94.0,,59.0,,32.549019607843135,16.862745098039216,8.5,6.0,37.0,-5.46875,,12.0,2,CLOSED LOOP
1786800323251,1247.0,19.0,94.0,,59.0,,41.96078431372549,16.862745098039216,22.5,5.0,37.0,-5.46875,,12.0,2,CLOSED LOOP
1786800324802,1341.0,21.0,94.0,,59.0,,41.96078431372549,16.862745098039216,22.5,8.07,49.0,-1.5625,,12.0,2,CLOSED LOOP
1786800326091,1613.0,21.0,94.0,,,,76.07843137254902,19.215686274509803,27.0,11.53,49.0,-1.5625,,12.0,2,CLOSED LOOP
1786800327176,1643.0,27.0,94.0,,,,76.07843137254902,19.215686274509803,27.0,11.62,57.0,-1.5625,,12.0,2,CLOSED LOOP
1786800328432,1410.0,27.0,94.0,,58.0,,83.92156862745098,19.215686274509803,24.5,11.13,57.0,-1.5625,,12.0,2,CLOSED LOOP
1786800329572,1341.0,30.0,94.0,,58.0,,83.92156862745098,,24.5,13.54,57.0,-7.03125,,12.0,3,CLOSED LOOP
1786800330767,1370.0,30.0,94.0,,58.0,,33.72549019607843,14.901960784313726,-13.0,4.12,,-7.03125,,12.0,3,CLOSED LOOP
1786800332038,1266.0,32.0,94.0,,58.0,,33.72549019607843,14.901960784313726,-13.0,4.0,27.0,0.0,,12.0,3,OPEN LOOP
1786800333314,1336.0,32.0,95.0,,57.0,,33.72549019607843,15.686274509803921,37.5,4.31,27.0,0.0,,12.0,3,OPEN LOOP
1786800334412,1360.0,32.0,95.0,,57.0,,33.72549019607843,15.686274509803921,37.5,4.31,43.0,-10.9375,,12.0,3,OPEN LOOP
1786800336386,1381.0,33.0,95.0,,57.0,,53.333333333333336,,31.5,6.93,60.0,-7.8125,,12.0,3,OPEN LOOP
1786800337825,1411.0,34.0,95.0,,57.0,,45.09803921568628,16.470588235294116,33.5,6.93,48.0,-7.8125,,12.0,3,OPEN LOOP
1786800339029,1369.0,34.0,95.0,,57.0,,37.254901960784316,16.470588235294116,33.5,6.93,48.0,-7.8125,,12.0,3,OPEN LOOP
1786800340033,1324.0,34.0,95.0,,57.0,,37.254901960784316,16.470588235294116,-13.0,3.17,23.0,-7.8125,,12.0,3,OPEN LOOP
1786800342023,1313.0,32.0,95.0,,,,42.35294117647059,16.07843137254902,-13.0,5.34,23.0,0.0,,12.2,3,OPEN LOOP
1786800343988,1338.0,32.0,95.0,,57.0,,44.705882352941174,16.07843137254902,-13.0,5.59,,0.0,,12.0,3,CLOSED LOOP
1786800345070,1352.0,32.0,95.0,,57.0,,44.705882352941174,17.647058823529413,29.5,7.53,,0.0,,12.0,3,CLOSED LOOP
1786800346136,1395.0,32.0,95.0,,57.0,,65.09803921568627,17.647058823529413,24.0,8.47,,0.0,,12.0,3,CLOSED LOOP
1786800347259,1428.0,32.0,95.0,,57.0,,75.68627450980392,17.647058823529413,26.0,8.47,,0.0,,11.9,3,CLOSED LOOP
1786800348278,1474.0,32.0,95.0,,57.0,,75.68627450980392,,27.5,8.2,,0.0,,11.9,3,CLOSED LOOP
1786800350191,1470.0,36.0,95.0,,57.0,,75.68627450980392,,35.5,8.2,,0.0,,11.9,3,CLOSED LOOP
1786800351778,1482.0,37.0,95.0,,,,75.68627450980392,,35.5,6.69,,0.0,,11.9,3,CLOSED LOOP
1786800353196,1357.0,38.0,95.0,,,,75.68627450980392,,19.5,4.16,,0.0,,12.0,3,CLOSED LOOP
1786800354356,1139.0,37.0,95.0,,,,75.68627450980392,,19.5,4.35,,0.0,,12.0,4,CLOSED LOOP
1786800355609,1048.0,37.0,95.0,,,,75.68627450980392,,19.5,4.35,,0.0,,12.0,4,CLOSED LOOP
1786800356869,954.0,35.0,95.0,,,,75.68627450980392,,19.5,3.26,,0.0,,11.9,4,CLOSED LOOP
1786800358141,943.0,34.0,95.0,,,,75.68627450980392,,19.5,3.26,29.0,-10.15625,,11.9,4,CLOSED LOOP
1786800359323,1121.0,32.0,95.0,,,,75.68627450980392,,19.5,3.23,29.0,-7.03125,,11.9,3,CLOSED LOOP
1786800360516,1335.0,32.0,95.0,,,,75.68627450980392,,19.5,6.93,40.0,-7.03125,,12.0,3,CLOSED LOOP
1786800361784,1404.0,32.0,95.0,,,,75.68627450980392,,19.5,9.15,50.0,-7.03125,,12.0,3,CLOSED LOOP
1786800363747,1450.0,34.0,95.0,,,,75.68627450980392,,19.5,9.15,65.0,-7.03125,,12.0,3,CLOSED LOOP
1786800364792,1479.0,34.0,95.0,,,,75.68627450980392,,19.5,10.19,60.0,-7.03125,,12.0,3,CLOSED LOOP
1786800365902,1565.0,34.0,95.0,,,,75.68627450980392,,19.5,10.33,47.0,-7.03125,,12.0,3,CLOSED LOOP
