# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1785096250837,ZONE,map WARN → GOOD (IDLE OK)
1785096254223,ZONE,map GOOD → WARN (CHECK)
1785096258921,ZONE,battery GOOD → WARN (LOW CHARGE)
1785096265178,ZONE,battery WARN → GOOD (CHARGING OK)
1785096268027,ZONE,battery GOOD → WARN (LOW CHARGE)
1785096271321,ZONE,map WARN → GOOD (CRUISE OK)
1785096273167,ZONE,map GOOD → WARN (HIGH IDLE)
1785096276470,ZONE,map WARN → GOOD (CRUISE OK)
1785096278077,TRIP,Trip Start
1785096278078,ZONE,battery WARN → GOOD (CHARGING OK)
1785096279691,ZONE,battery GOOD → WARN (LOW CHARGE)
1785096279692,ZONE,map GOOD → WARN (CHECK)
1785096281212,ZONE,map WARN → GOOD (CRUISE OK)
1785096287725,ZONE,battery WARN → GOOD (CHARGING OK)
1785096331354,ZONE,battery GOOD → WARN (LOW CHARGE)
1785096333037,ZONE,battery WARN → GOOD (CHARGING OK)
1785096334799,ZONE,map GOOD → WARN (RISING)
1785096339539,GEAR,Estimated gear 1 → 2
1785096339539,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785096341201,ZONE,stft WARN → GOOD (NORMAL)
1785096341201,ZONE,map WARN → GOOD (CRUISE OK)
1785096348093,ZONE,map GOOD → WARN (RISING)
1785096349618,GEAR,Estimated gear 2 → 3
1785096349618,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785096349618,ZONE,map WARN → GOOD (CRUISE OK)
1785096351195,GEAR,Estimated gear 3 → 4
1785096351195,ZONE,stft WARN → GOOD (NORMAL)
1785096352787,GEAR,Estimated gear 4 → 3
1785096370404,GEAR,Estimated gear 3 → 2
1785096372117,ZONE,battery GOOD → WARN (LOW CHARGE)
1785096373724,GEAR,Estimated gear 2 → 1
1785096373724,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1785096373724,CHARGE,Charging problem began (WEAK CHARGE)
1785096376953,ZONE,battery ELEVATED → GOOD (CHARGING OK)
1785096376953,ZONE,map GOOD → WARN (RISING)
1785096376953,CHARGE,Charging problem ended
1785096381999,GEAR,Estimated gear 1 → 2
1785096385412,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785096386888,GEAR,Estimated gear 2 → 3
1785096386888,ZONE,stft WARN → GOOD (NORMAL)
1785096388528,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785096389973,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1785096389973,ZONE,stft WARN → GOOD (NORMAL)
1785096389973,ZONE,map WARN → GOOD (NORMAL)
1785096391708,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1785096393220,ZONE,map GOOD → WARN (RISING)
1785096394795,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785096398016,ZONE,stft WARN → GOOD (NORMAL)
1785096399408,ZONE,stft GOOD → WARN (SLIGHT RICH)
1785096402561,ZONE,stft WARN → GOOD (NORMAL)
1785096404175,GEAR,Estimated gear 3 → 4
1785096404175,ZONE,map WARN → GOOD (CRUISE OK)
1785096405584,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
